n,e,w,s
0,0,0,0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.0,0.05642854902687994
0.0,0.0,0.02344616274643782,0.4223872501024289
0.0,0.0,0.02344616274643782,0.4223872501024289
0.0,0.0,0.02344616274643782,0.4223872501024289
0.0,0.0,0.02344616274643782,0.4223872501024289
0.0,0.4049413828162102,0.10499100202878105,0.36214426855657
0.0,0.4049413828162102,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.6074544921597651,0.10499100202878105,0.36214426855657
0.0,0.7087260405078122,0.23945038945986086,0.36214426855657
0.0,0.7087260405078122,0.23945038945986086,0.36214426855657
0.0,0.7087260405078122,0.23945038945986086,0.36214426855657
0.0,0.7087260405078122,0.23945038945986086,0.36214426855657
0.0,0.7087260405078122,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7391128598925574,0.23945038945986086,0.36214426855657
0.0,0.7694165525239852,0.23945038945986086,0.36214426855657
0.0,0.7694165525239852,0.23945038945986086,0.36214426855657
0.0,0.7694165525239852,0.23945038945986086,0.36214426855657
0.0,0.7694165525239852,0.23945038945986086,0.36214426855657
0.0,0.7694165525239852,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7895476550924309,0.23945038945986086,0.36214426855657
0.0,0.7996816322681781,0.23945038945986086,0.36214426855657
0.0,0.8047486208560517,0.23945038945986086,0.36214426855657
0.0,0.8047486208560517,0.23945038945986086,0.36214426855657
0.0,0.8047486208560517,0.23945038945986086,0.36214426855657
0.0,0.8047486208560517,0.23945038945986086,0.36214426855657
0.0,0.8047486208560517,0.23945038945986086,0.36214426855657
0.0,0.8047486208560517,0.23945038945986086,0.36214426855657
0.0,0.7420767644561307,0.23945038945986086,0.6149398292970011
0.0,0.7533823208186722,0.23945038945986086,0.6149398292970011
0.0,0.7533823208186722,0.23945038945986086,0.6149398292970011
0.0,0.7533823208186722,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
0.0,0.7661853458246053,0.23945038945986086,0.6149398292970011
